127.0.0.1 - - [04/Jul/2018:17:01:36 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:01:37 +0530] "GET /LetsTalkMiddleware/ HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:08:00 +0530] "GET /CodeWarriaorsMiddleware/demo HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:08:36 +0530] "GET /LetsTalkMiddleware/ HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:10:02 +0530] "GET /LetsTalkMiddleware//listUsers HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:10 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:10 +0530] "GET /LetsTalkFrontend/RouteConfig.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:10 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:10 +0530] "GET /LetsTalkFrontend/c_user/UserController.js HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:10 +0530] "GET /LetsTalkFrontend/resources/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:11 +0530] "GET /LetsTalkFrontend/resources/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:39 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:39 +0530] "GET /LetsTalkFrontend/RouteConfig.js HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:39 +0530] "GET /LetsTalkFrontend/c_user/UserController.js HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:39 +0530] "GET /LetsTalkFrontend/resources/img/logo.jpg HTTP/1.1" 200 48973
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:39 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:40 +0530] "GET /LetsTalkFrontend/resources/img/bg.jpg HTTP/1.1" 200 5118358
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:58 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 200 4935
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:11:58 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:12:13 +0530] "GET /LetsTalkFrontend/c_user/Login.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:13:48 +0530] "GET /LetsTalkFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:13:48 +0530] "GET /LetsTalkFrontend/RouteConfig.js HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:13:48 +0530] "GET /LetsTalkFrontend/resources/css/lt-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:13:48 +0530] "GET /LetsTalkFrontend/resources/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:13:48 +0530] "GET /LetsTalkFrontend/c_user/UserController.js HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:13:50 +0530] "GET /LetsTalkFrontend/resources/img/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:17:13:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
